Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
FLS,36.64,4788696530,N/A
FLT,207.06,15271164076,N/A
FMC,131.2,16526729098,N/A
FOX,33.2,18498419094,N/A
FOXA,35.81,18540232623,N/A
FRC,135.45,24333160550,N/A
FRT,109.97,8946409205,N/A
FTI,14.09,6290340459,N/A
FTNT,59.61,46569478616,N/A
FTV,68.13,24104956277,N/A
GD,233.22,64002577194,N/A
GE,81.29,88822993101,N/A
GILD,86.7,108742941362,N/A
GIS,76.09,44863479457,N/A
GL,121.53,11821250930,N/A
GLW,35.25,29814851004,N/A
GM,41.35,57668249295,N/A
GOOG,94.86,1128447286040,N/A
GOOGL,94.57,1130325842716,N/A
GPC,173.04,24426559831,N/A
GPN,117.88,31874887090,N/A
GPS,13.39,4869901504,N/A
GRMN,95.91,18382487814,N/A
GS,371.28,124347576837,N/A
GWW,656.49,33171955867,N/A
HAL,39.02,35278779842,N/A
HAS,57.38,7924965368,N/A
HBAN,15.23,21972842704,N/A
HBI,5.61,1959918110,N/A
HCA,256.62,72550759554,N/A
HD,316.54,324050368267,N/A
HES,146.59,45194938031,N/A
HIG,77.21,24560418308,N/A
HII,221.33,8831849623,N/A
HLT,147.17,39803012022,N/A
HOLX,81.86,20182912568,N/A
HON,200.47,134780437849,N/A
HPE,16.44,21073069030,N/A
HPQ,29.97,29434909506,N/A
HRB,38.9,5923578762,N/A
HRL,44.95,24561767520,N/A
HSIC,86.08,11667935256,N/A
HST,18.18,12999204695,N/A
HSY,239.1,49034628000,N/A
HUM,498.62,63125450561,N/A
HWM,40.52,16763611739,N/A
IBM,135.6,122599534823,N/A
ICE,108.71,60752719170,N/A
IDXX,485.73,40226680524,N/A
IEX,225.92,17039136945,N/A
IFF,94.82,24175520829,N/A
ILMN,196.58,30922034000,N/A
INCY,79.26,17672207327,N/A
INFO,108.61,45801486922,N/A
INTC,27.8,115008600000,N/A
INTU,413.52,116168250732,N/A
IP,38.63,13739532448,N/A
IPG,37.13,14425922779,N/A
IPGP,111.56,5434573890,N/A
IQV,222.84,41390306725,N/A
IR,56.69,22955240371,N/A
IRM,53.25,15480522470,N/A
ISRG,245.27,86674633484,N/A
IT,347.62,27470454976,N/A
ITW,235.52,72348535982,N/A
IVZ,18.74,8522663554,N/A
J,121.7,15421109134,N/A
JBHT,190.6,19734232824,N/A
JCI,64.59,44387170927,N/A
JKHY,170.41,12431312878,N/A
JNJ,162.15,423938516875,N/A
JNPR,31.13,10103413431,N/A
JPM,141.04,413699217404,N/A
K,67.69,23022045900,N/A
KEY,19.44,18136928888,N/A
KEYS,180.75,32235694991,N/A
KHC,39.63,48543982399,N/A
KIM,21.67,0,N/A
KLAC,395.68,54793673020,N/A
KMB,128.93,43512855679,N/A
KMI,18.36,41273339193,N/A
KMX,73.57,11625788821,N/A
KO,59.62,257827480800,N/A
KR,44.8,32068820000,N/A
KSS,31.98,3533282413,N/A
KSU,293.59,26710947380,N/A
L,62.17,14609805330,N/A
LB,79.92,21957908112,N/A
LDOS,100.82,13781041137,N/A
LEG,33.88,4491722210,N/A
LEN,101.9,28919909150,N/A
LH,245.89,21785854000,N/A
LHX,215.66,41062266770,N/A
LIN,332.04,163549867778,N/A
LKQ,56.17,15007218907,N/A
LLY,345.12,327925396848,N/A
LMT,480.83,122754599797,N/A
LNC,33.81,5721174838,N/A
LNT,53.23,13361892011,N/A
LOW,208.78,129589864378,N/A
LRCX,505.0,68142785545,N/A
LUV,34.57,20544486967,N/A
LVS,56.81,43418370207,N/A
LW,99.27,14282033469,N/A
LYB,99.47,32389862351,N/A
LYV,76.41,17641531554,N/A
MA,366.83,350032351009,N/A
MAA,171.37,19789296575,N/A
MAR,171.37,54245393480,N/A
MAS,55.06,12417633512,N/A
MCD,262.42,192202677739,N/A
MCHP,82.6,45247941092,N/A
MCK,368.07,50403221282,N/A
MCO,306.77,56200264000,N/A
MDLZ,65.5,89296598610,N/A
MDT,83.69,111322762359,N/A
MET,71.4,56020883037,N/A
MGM,43.83,16831609574,N/A
MHK,115.77,7355334885,N/A
MKC,74.5,19969074019,N/A
MKTX,350.19,13180039046,N/A
MLM,351.24,21808735361,N/A
MMC,172.05,85338435507,N/A
MMM,113.88,62690940000,N/A
MNST,102.8,53635243314,N/A
MO,47.24,84662234474,N/A
MOS,51.3,17466677044,N/A
MPC,126.79,59421507016,N/A
MRK,108.57,275267940897,N/A
MRO,27.75,17569924682,N/A
MS,98.44,166374371206,N/A
MSCI,549.33,43923419329,N/A
MSFT,263.1,1958464709532,N/A
MSI,271.52,45399015308,N/A
MTB,159.02,27448973804,N/A
MTD,1513.31,33738019156,N/A
MU,59.82,65274181341,N/A
MXIM,103.14,27699922819,N/A
MYL,15.855,8586211830,N/A
NBL,8.45,4095292500,N/A
NCLH,16.24,6843472664,N/A
NDAQ,59.62,29290085340,N/A
NEE,74.74,148520611350,N/A
NEM,47.98,38083584313,N/A
NFLX,347.36,153461913979,N/A
NI,26.88,10916891113,N/A
NKE,122.23,190678800000,N/A
NLOK,21.62,12352934758,N/A
NLSN,27.98,10068164861,N/A
NOC,463.86,70995336672,N/A
NOV,24.04,9443031214,N/A
NOW,458.36,93047080000,N/A
NRG,34.86,8031193386,N/A
NSC,242.61,55262240027,N/A
NTAP,66.34,14301136503,N/A
NTRS,97.82,20387221133,N/A
NUE,164.11,42101388248,N/A
NVDA,212.65,529498500000,N/A
NVR,5078.25,16229513158,N/A
NWL,14.77,6108872000,N/A
NWS,18.81,10737874061,N/A
NWSA,18.66,10786756176,N/A
O,66.85,41925235608,N/A
ODFL,349.0,38558086078,N/A
OKE,69.45,31040944327,N/A
OMC,91.14,18475293625,N/A
ORCL,87.14,234951486420,N/A
ORLY,825.32,51645150867,N/A
OTIS,83.22,34525436544,N/A
OXY,65.63,59652035599,N/A
PAYC,317.09,19031858806,N/A
PAYX,114.22,41172489113,N/A
PBCT,19.41,8371850392,N/A
PCAR,72.99,25383555299,N/A
PEAK,26.66,14577221690,N/A
PEG,60.65,30261301974,N/A
PEP,176.2,242752362626,N/A
PFE,43.88,246312241884,N/A
PFG,90.38,22114430560,N/A
PG,138.26,326175262713,N/A
PGR,138.73,81166721146,N/A
PH,348.88,44749452546,N/A
PHM,55.98,12628907744,N/A
PKG,139.92,12947424442,N/A
PKI,135.73,17132375919,N/A
PLD,128.09,118237134928,N/A
PM,102.36,158678707940,N/A
PNC,159.34,64264854718,N/A
PNR,55.21,9081954124,N/A
PNW,74.09,8382557640,N/A
PPG,126.23,29667507945,N/A
PPL,28.66,21102882019,N/A
PRGO,35.22,4742011854,N/A
PRU,103.03,38327160000,N/A
PSA,299.91,52675708945,N/A
PSX,107.38,50751247032,N/A
PVH,80.2,5082385318,N/A
PWR,151.34,21626660949,N/A
PXD,231.39,55986889539,N/A
PYPL,80.8,92114240746,N/A
QCOM,128.99,143823850000,N/A
QRVO,103.31,10319554285,N/A
RCL,71.64,18281239555,N/A
RE,379.48,14862347102,N/A
REG,65.67,11237629022,N/A
REGN,757.61,81448670707,N/A
RF,23.67,22118327494,N/A
RHI,84.67,9186571043,N/A
RJF,111.32,23972932431,N/A
RL,118.21,8012273800,N/A
RMD,213.13,31310803193,N/A
ROK,285.18,32733658235,N/A
ROL,35.94,17699459350,N/A
ROP,427.4,45326647880,N/A
ROST,115.18,39664652817,N/A
RSG,127.36,40245879209,N/A
RTX,100.61,147389080696,N/A
SBAC,289.49,31254943596,N/A
SBUX,107.09,123078537000,N/A
SCHW,80.46,146102943171,N/A
SEE,49.3,7131615835,N/A
SHW,230.49,59729965954,N/A
SIVB,310.03,18324051564,N/A
SJM,148.93,15869585391,N/A
SLB,56.36,80041823409,N/A
SLG,38.93,2503823865,N/A
SNA,251.33,13359355420,N/A
SNPS,359.11,54734538537,N/A
SO,66.88,72810438737,N/A
SPG,124.35,40655709111,N/A
SPGI,363.86,121165380000,N/A
SRE,157.13,49391201328,N/A
STE,192.87,19148990521,N/A
STT,92.58,33971318809,N/A
STX,71.28,14880412800,N/A
STZ,228.3,42120943398,N/A
SWK,85.83,12697843492,N/A
SWKS,119.61,19014900713,N/A
SYF,36.42,16408718808,N/A
SYK,264.34,100034167432,N/A
SYY,77.58,39379919794,N/A
T,19.07,135969100000,N/A
TAP,51.44,748904466,N/A
TDG,730.47,39882247810,N/A
TDY,438.36,20546412327,N/A
TEL,129.79,41072904191,N/A
TFC,48.38,64188953013,N/A
TFX,245.48,11514591664,N/A
TGT,170.02,78253852353,N/A
TIF,131.46,15960711882,N/A
TJX,80.25,92729207957,N/A
TMO,571.41,224104463225,N/A
TMUS,143.7,178784949056,N/A
TPR,44.44,10708320216,N/A
TROW,117.62,26283931187,N/A
TRV,186.75,43764400294,N/A
TSCO,233.0,25737936085,N/A
TSN,60.39,21718055700,N/A
TT,183.14,42178478189,N/A
TTWO,111.1,18739740172,N/A
TWTR,53.7,41093718362,N/A
TXN,175.79,159301916703,N/A
TXT,73.78,15403159204,N/A
TYL,322.54,13430532701,N/A
UA,9.33,4060926818,N/A
UAA,10.59,4048979192,N/A
UAL,48.86,15964745944,N/A
UDR,44.09,14353137080,N/A
UHS,147.04,10729545854,N/A
ULTA,515.75,26241757643,N/A
UNH,494.25,461802029330,N/A
UNM,42.46,8447029935,N/A
UNP,205.5,126341564400,N/A
UPS,185.22,160200141225,N/A
URI,448.65,31095250001,N/A
USB,48.7,72359603768,N/A
V,227.2,429502190986,N/A
VAR,177.07,16261898618,N/A
VFC,26.27,10210015397,N/A
VLO,140.73,54254690913,N/A
VMC,184.13,24472141237,N/A
VNO,23.13,4436719901,N/A
VRSK,176.78,27646261801,N/A
VRSN,210.18,22282538722,N/A
VRTX,297.4,76340037825,N/A
VTR,50.99,20381620055,N/A
VZ,40.01,168034696054,N/A
WAB,103.31,18788769030,N/A
WAT,333.78,19829060384,N/A
WBA,36.55,31524504899,N/A
WDC,43.01,13734053628,N/A
WEC,93.27,29420578706,N/A
WELL,75.28,35571414455,N/A
WFC,47.51,181036422564,N/A
WHR,141.52,7709776658,N/A
WM,154.07,62884003599,N/A
WMB,31.82,38767573327,N/A
WMT,143.72,387584103761,N/A
WRB,68.19,18102816691,N/A
WRK,33.06,8418787946,N/A
WST,271.14,20073304095,N/A
WU,14.05,5425699852,N/A
WY,33.64,24756247880,N/A
WYNN,108.64,12310388526,N/A
XEL,68.48,37475577006,N/A
XLNX,194.92,48414620999,N/A
XOM,119.17,490777026981,N/A
XRAY,35.89,7713187589,N/A
XRX,16.66,2592339932,N/A
XYL,106.17,19134120052,N/A
YUM,131.31,36988433684,N/A
ZBH,127.91,26842219461,N/A
ZBRA,313.46,16183876481,N/A
ZION,52.51,7856428263,N/A
ZTS,158.33,73793178968,N/A
